"AriaId","AriaName","AriaOpera"
"1371","Se_amore","Ale"
"1064","Se_amore","Ale"
"1005","Se_amore","Ale"
"0677","Se_amore","Ale"
"1399","Se_amore","Ale"
"0840","Se_amore","Ale"
"1142","Se_amore","Ale"
"1025","Se_amore","Ale"
"1705","Se_amore","Ale"
"0647","Non_sarei","Ale"
"1046","Non_sarei","Ale"
"1089","Non_sarei","Ale"
"1396","Non_sarei","Ale"
"0913","Non_sarei","Ale"
"1008","Non_sarei","Ale"
"0680","Non_sarei","Ale"
"1492","Non_sarei","Ale"
"1410","Non_sarei","Ale"
"0842","Non_sarei","Ale"
"1346","Non_sarei","Ale"
"1438","Non_sarei","Ale"
"1149","Non_sarei","Ale"
"1195","Non_sarei","Ale"
"0757","Non_sarei","Ale"
"1310","Non_sarei","Ale"
"0818","Non_sarei","Ale"
"1224","Non_sarei","Ale"
"0989","Non_sarei","Ale"
"1099","Non_sarei","Ale"
"1079","Non_sarei","Ale"
"1121","Non_sarei","Ale"
"0878","Non_sarei","Ale"
"1239","Non_sarei","Ale"
"0648","Senza_procelle","Ale"
"0970","Senza_procelle","Ale"
"2299","Senza_procelle","Ale"
"1129","Senza_procelle","Ale"
"1171","Senza_procelle","Ale"
"1244","Senza_procelle","Ale"
"1357","Senza_procelle","Ale"
"0905","Senza_procelle","Ale"
"1332","Senza_procelle","Ale"
"0698","Senza_procelle","Ale"
"1484","Senza_procelle","Ale"
"1304","Senza_procelle","Ale"
"2300","Sommi_dei","Ale"
"0649","Dun_barbaro","Ale"
"0968","Dun_barbaro","Ale"
"1048","Dun_barbaro","Ale"
"1090","Dun_barbaro","Ale"
"1372","Dun_barbaro","Ale"
"1333","Dun_barbaro","Ale"
"1358","Dun_barbaro","Ale"
"0650","Digli_che","Ale"
"0969","Digli_che","Ale"
"0735","Digli_che","Ale"
"1248","Digli_che","Ale"
"2303","Digli_che","Ale"
"1279","Digli_che","Ale"
"1049","Digli_che","Ale"
"1117","Digli_che","Ale"
"0915","Digli_che","Ale"
"1373","Digli_che","Ale"
"1295","Digli_che","Ale"
"1011","Digli_che","Ale"
"0682","Digli_che","Ale"
"0709","Digli_che","Ale"
"1487","Digli_che","Ale"
"1400","Digli_che","Ale"
"1413","Digli_che","Ale"
"1253","Digli_che","Ale"
"0844","Digli_che","Ale"
"1318","Digli_che","Ale"
"1440","Digli_che","Ale"
"1151","Digli_che","Ale"
"1194","Digli_che","Ale"
"0758","Digli_che","Ale"
"1422","Digli_che","Ale"
"1322","Digli_che","Ale"
"0820","Digli_che","Ale"
"0802","Digli_che","Ale"
"0992","Digli_che","Ale"
"1119","Digli_che","Ale"
"1081","Digli_che","Ale"
"1122","Digli_che","Ale"
"0651","Destrier_che","Ale"
"1247","Destrier_che","Ale"
"1280","Destrier_che","Ale"
"1050","Destrier_che","Ale"
"1734","Destrier_che","Ale"
"1155","Destrier_che","Ale"
"1423","Destrier_che","Ale"
"0906","Destrier_che","Ale"
"1374","Destrier_che","Ale"
"1713","Destrier_che","Ale"
"1012","Destrier_che","Ale"
"0683","Destrier_che","Ale"
"0710","Destrier_che","Ale"
"1493","Destrier_che","Ale"
"1411","Destrier_che","Ale"
"1581","Destrier_che","Ale"
"0845","Destrier_che","Ale"
"1339","Destrier_che","Ale"
"1197","Destrier_che","Ale"
"1315","Destrier_che","Ale"
"1441","Destrier_che","Ale"
"1198","Destrier_che","Ale"
"0759","Destrier_che","Ale"
"1323","Destrier_che","Ale"
"0821","Destrier_che","Ale"
"1203","Destrier_che","Ale"
"0807","Destrier_che","Ale"
"0994","Destrier_che","Ale"
"1706","Destrier_che","Ale"
"0652","E_ver","Ale"
"0736","E_ver","Ale"
"2304","E_ver","Ale"
"1051","E_ver","Ale"
"1153","E_ver","Ale"
"1375","E_ver","Ale"
"1347","E_ver","Ale"
"1013","E_ver","Ale"
"1733","E_ver","Ale"
"1414","E_ver","Ale"
"0822","E_ver","Ale"
"1103","E_ver","Ale"
"1082","E_ver","Ale"
"0653","Se_e","Ale"
"0737","Se_e","Ale"
"1249","Se_e","Ale"
"1270","Se_e","Ale"
"2315","Se_e","Ale"
"0700","Se_e","Ale"
"1052","Se_e","Ale"
"1091","Se_e","Ale"
"0907","Se_e","Ale"
"1376","Se_e","Ale"
"0711","Se_e","Ale"
"1485","Se_e","Ale"
"1401","Se_e","Ale"
"1425","Se_e","Ale"
"1609","Se_e","Ale"
"0846","Se_e","Ale"
"1354","Se_e","Ale"
"1464","Se_e","Ale"
"1442","Se_e","Ale"
"1152","Se_e","Ale"
"1199","Se_e","Ale"
"0760","Se_e","Ale"
"1324","Se_e","Ale"
"0824","Se_e","Ale"
"1225","Se_e","Ale"
"0995","Se_e","Ale"
"0654","Se_il","Ale"
"0971","Se_il","Ale"
"1038","Se_il","Ale"
"1377","Se_il","Ale"
"0712","Se_il","Ale"
"1610","Se_il","Ale"
"0847","Se_il","Ale"
"1319","Se_il","Ale"
"1450","Se_il","Ale"
"1156","Se_il","Ale"
"1218","Se_il","Ale"
"0761","Se_il","Ale"
"0825","Se_il","Ale"
"1083","Se_il","Ale"
"1031","Se_il","Ale"
"0883","Se_il","Ale"
"0655","Se_viver","Ale"
"0972","Se_viver","Ale"
"1271","Se_viver","Ale"
"2333","Se_viver","Ale"
"2309","Se_viver","Ale"
"1281","Se_viver","Ale"
"1042","Se_viver","Ale"
"1245","Se_viver","Ale"
"0908","Se_viver","Ale"
"1378","Se_viver","Ale"
"1314","Se_viver","Ale"
"0713","Se_viver","Ale"
"1426","Se_viver","Ale"
"1612","Se_viver","Ale"
"1320","Se_viver","Ale"
"1157","Se_viver","Ale"
"1200","Se_viver","Ale"
"1711","Se_viver","Ale"
"0656","Di_rendermi","Ale"
"0973","Di_rendermi","Ale"
"1256","Di_rendermi","Ale"
"2311","Di_rendermi","Ale"
"1282","Di_rendermi","Ale"
"1096","Di_rendermi","Ale"
"0916","Di_rendermi","Ale"
"1379","Di_rendermi","Ale"
"1296","Di_rendermi","Ale"
"0714","Di_rendermi","Ale"
"1451","Di_rendermi","Ale"
"0848","Di_rendermi","Ale"
"1348","Di_rendermi","Ale"
"1118","Di_rendermi","Ale"
"0657","Risveglia_lo","Ale"
"0974","Risveglia_lo","Ale"
"1123","Risveglia_lo","Ale"
"0658","Se_troppo","Ale"
"0975","Se_troppo","Ale"
"0742","Se_troppo","Ale"
"1272","Se_troppo","Ale"
"2313","Se_troppo","Ale"
"1124","Se_troppo","Ale"
"1154","Se_troppo","Ale"
"1424","Se_troppo","Ale"
"1380","Se_troppo","Ale"
"1297","Se_troppo","Ale"
"1015","Se_troppo","Ale"
"1712","Se_troppo","Ale"
"0702","Se_troppo","Ale"
"0715","Se_troppo","Ale"
"1489","Se_troppo","Ale"
"1458","Se_troppo","Ale"
"1613","Se_troppo","Ale"
"0849","Se_troppo","Ale"
"1415","Se_troppo","Ale"
"1453","Se_troppo","Ale"
"1202","Se_troppo","Ale"
"0826","Se_troppo","Ale"
"0804","Se_troppo","Ale"
"1774","Se_troppo","Ale"
"0659","Come_il","Ale"
"0976","Come_il","Ale"
"1097","Come_il","Ale"
"1494","Come_il","Ale"
"0827","Come_il","Ale"
"0660","Serbati_a","Ale"
"0977","Serbati_a","Ale"
"1273","Serbati_a","Ale"
"2314","Serbati_a","Ale"
"1126","Serbati_a","Ale"
"1092","Serbati_a","Ale"
"1381","Serbati_a","Ale"
"1334","Serbati_a","Ale"
"1016","Serbati_a","Ale"
"0703","Serbati_a","Ale"
"0719","Serbati_a","Ale"
"1495","Serbati_a","Ale"
"1459","Serbati_a","Ale"
"1416","Serbati_a","Ale"
"1454","Serbati_a","Ale"
"1158","Serbati_a","Ale"
"0762","Serbati_a","Ale"
"1325","Serbati_a","Ale"
"0828","Serbati_a","Ale"
"0805","Serbati_a","Ale"
"1250","Finche_rimango","Ale"
"1392","Finche_rimango","Ale"
"2319","Finche_rimango","Ale"
"1283","Finche_rimango","Ale"
"1137","Finche_rimango","Ale"
"1127","Finche_rimango","Ale"
"0957","Finche_rimango","Ale"
"0704","Finche_rimango","Ale"
"0716","Finche_rimango","Ale"
"1355","Finche_rimango","Ale"
"1417","Finche_rimango","Ale"
"1455","Finche_rimango","Ale"
"1219","Finche_rimango","Ale"
"1029","Finche_rimango","Ale"
"0661","Dove_si","Ale"
"0978","Dove_si","Ale"
"0746","Dove_si","Ale"
"1429","Dove_si","Ale"
"2320","Dove_si","Ale"
"1284","Dove_si","Ale"
"1140","Dove_si","Ale"
"1093","Dove_si","Ale"
"0910","Dove_si","Ale"
"1382","Dove_si","Ale"
"1335","Dove_si","Ale"
"1068","Dove_si","Ale"
"1017","Dove_si","Ale"
"0705","Dove_si","Ale"
"0717","Dove_si","Ale"
"1460","Dove_si","Ale"
"1611","Dove_si","Ale"
"1345","Dove_si","Ale"
"1456","Dove_si","Ale"
"1163","Dove_si","Ale"
"1220","Dove_si","Ale"
"0763","Dove_si","Ale"
"1326","Dove_si","Ale"
"0829","Dove_si","Ale"
"1233","Dove_si","Ale"
"0998","Dove_si","Ale"
"0884","Dove_si","Ale"
"0662","Mio_ben","Ale"
"0979","Mio_ben","Ale"
"1257","Mio_ben","Ale"
"1258","Mio_ben","Ale"
"2330","Mio_ben","Ale"
"0706","Mio_ben","Ale"
"1136","Mio_ben","Ale"
"1094","Mio_ben","Ale"
"0911","Mio_ben","Ale"
"1383","Mio_ben","Ale"
"1336","Mio_ben","Ale"
"1069","Mio_ben","Ale"
"0699","Mio_ben","Ale"
"1465","Mio_ben","Ale"
"0852","Mio_ben","Ale"
"1164","Mio_ben","Ale"
"1430","Mio_ben","Ale"
"0764","Mio_ben","Ale"
"0830","Mio_ben","Ale"
"1234","Mio_ben","Ale"
"0806","Mio_ben","Ale"
"1120","Mio_ben","Ale"
"0663","Son_confusa","Ale"
"0980","Son_confusa","Ale"
"1252","Son_confusa","Ale"
"2331","Son_confusa","Ale"
"1285","Son_confusa","Ale"
"1131","Son_confusa","Ale"
"1095","Son_confusa","Ale"
"1359","Son_confusa","Ale"
"0912","Son_confusa","Ale"
"1384","Son_confusa","Ale"
"1337","Son_confusa","Ale"
"1070","Son_confusa","Ale"
"0707","Son_confusa","Ale"
"0718","Son_confusa","Ale"
"1391","Son_confusa","Ale"
"1616","Son_confusa","Ale"
"0853","Son_confusa","Ale"
"1340","Son_confusa","Ale"
"1418","Son_confusa","Ale"
"0765","Son_confusa","Ale"
"0664","Ombra_dell","Ale"
