"name","value"
"pctl_1239_PartVnIDegree1Perrelative","73"
"pctl_1239_SoundVaIntervalM2Per","82"
"pctl_1239_ScoreIntervalP4Per","86"
"pctl_1239_ScoreDegree2Perrelative","71"
"pctl_1239_PartVnIDegree3Perrelative","15"
"pctl_1239_SoundVaHighestNoteIndex","93"
"pctl_1239_ScoreIntervalPDesc8Per","21"
"pctl_1239_HarmonyKeyModulatoryvi","96"
"pctl_1239_PartVnIDegree7Perrelative","94"
"pctl_1239_ScoreDegreeDesc4Perrelative","52"
"pctl_1239_ScoreDynMeanweighted","53"
"pctl_1239_PartVnIIDegree3Perrelative","29"
"pctl_1239_PartVaDegree2Perrelative","58"
"pctl_1239_SoundVaIntervalP5Per","61"
"pctl_1239_SoundObIntervalM7Per","82"
"pctl_1239_PartVnIIDynGrad","43"
"pctl_1239_PartBsDynMean","62"
"pctl_1239_NumericTempo","57"
"pctl_1239_PartVnIIntervalM3Per","12"
"pctl_1239_PartVaDegree5Perrelative","38"
"pctl_1239_SoundVaLargestSemitonesAsc","50"
"pctl_1239_PartBsDegree4Perrelative","62"
"pctl_1239_SoundSopIntervalA2Per","95"
"pctl_1239_PartHnIIIntervalM3Per","76"
"pctl_1239_PartVaDynMean","62"
"pctl_1239_PartVnIDegreeDesc4Perrelative","47"
"pctl_1239_PartVnIIDegreeDesc6Perrelative","63"
"pctl_1239_PartVnIAccavgabsstep4Desc0","87"
"pctl_1239_SoundBsIntervalPDesc5Per","90"
"pctl_1239_PartBsDegree5Perrelative","60"
"pctl_1239_PartVnIIntervalsMajorAscPer","53"
"pctl_1239_PartHnIIIntervalm3Per","72"
"pctl_1239_HarmonyChordIVPer","43"
"pctl_1239_PartVnIIDegreeDesc4Perrelative","68"
"pctl_1239_ScoreAbsoluteIntervallicTrimDiff","3"
"pctl_1239_SoundSopIntervalm3Per","87"
"pctl_1239_SoundBsDescendingIntervallicStd","19"
"pctl_1239_HarmonyChordtypesmajorDesctriad","49"
"pctl_1239_PartObIIIntervalP4Per","60"
"pctl_1239_SoundVaAbsoluteIntervallicTrimDiff","20"
"pctl_1239_SoundVaIntervallicTrimDiff","39"
"pctl_1239_ScoreIntervalP8Per","10"
"pctl_1239_SoundVaIntervalP8Per","24"
"pctl_1239_SoundVaAbsoluteIntervallicKurtosis","47"
"pctl_1239_PartHnIIIntervalP4Per","60"
"pctl_1239_SoundHnIntervalPDesc5Per","60"
"pctl_1239_ScoreAbsoluteIntervallicStd","12"
"pctl_1239_ScoreDescendingIntervallicStd","2"
"pctl_1239_PartVaDegree1Perrelative","65"
"pctl_1239_ScoreLowestNoteIndex","65"
"pctl_1241_SoundVaLowestNoteIndex","26"
"pctl_1241_HarmonyChordsGrouping2SDPer","30"
"pctl_1241_HarmonyChordviPer","49"
"pctl_1241_PartVnDegree1Perrelative","90"
"pctl_1241_PartVnDegree6Perrelative","11"
"pctl_1241_ScoreDegree1Perrelative","89"
"pctl_1241_PartBsDegree2Perrelative","82"
"pctl_1241_HarmonyChordsGrouping2TPer","79"
"pctl_1241_HarmonyChordsGrouping1sdPer","41"
"pctl_1241_HarmonyKeyiiiPercentageMeasures","49"
"pctl_1241_PartVnIIIntervalmDesc6Per","99"
"pctl_1241_SoundVaDescendingIntervallicStd","88"
"pctl_1241_PartBsDegree6Perrelative","43"
"pctl_1241_PartVnIIntervalsMajorAllPer","5"
"pctl_1241_PartBsDegree3Perrelative","25"
"pctl_1241_PartBsDegree1Perrelative","72"
"pctl_1241_SoundBsAmbitus","99"
"pctl_1241_PartVnDegree3Perrelative","44"
"pctl_1241_ScoreDegree6Perrelative","11"
"pctl_1241_PartHnIIIntervalPDesc8Per","74"
"pctl_1241_SoundVaIntervalPDesc4Per","83"
"pctl_1241_SoundVaIntervalM3Per","15"
"pctl_1241_SoundBsHighestNoteIndex","97"
"pctl_1241_PartHnIIIntervalP8Per","62"
"pctl_1241_SoundVaIntervalmDesc6Per","92"
"pctl_1241_PartVnIDescPartBsTexture","15"
"pctl_1241_PartVnIDegree1Perrelative","86"
"pctl_1241_SoundVaIntervalM2Per","17"
"pctl_1241_ScoreIntervalP4Per","53"
"pctl_1241_ScoreDegree2Perrelative","21"
"pctl_1241_PartVnIDegree3Perrelative","62"
"pctl_1241_SoundVaHighestNoteIndex","62"
"pctl_1241_ScoreIntervalPDesc8Per","46"
"pctl_1241_HarmonyKeyModulatoryvi","60"
"pctl_1241_PartVnIDegree7Perrelative","57"
"pctl_1241_ScoreDegreeDesc4Perrelative","88"
"pctl_1241_ScoreDynMeanweighted","99"
"pctl_1241_PartVnIIDegree3Perrelative","37"
"pctl_1241_PartVaDegree2Perrelative","54"
"pctl_1241_SoundVaIntervalP5Per","93"
"pctl_1241_SoundObIntervalM7Per","82"
"pctl_1241_PartVnIIDynGrad","9"
"pctl_1241_PartBsDynMean","36"
"pctl_1241_NumericTempo","54"
"pctl_1241_PartVnIIntervalM3Per","4"
"pctl_1241_PartVaDegree5Perrelative","68"
"pctl_1241_SoundVaLargestSemitonesAsc","85"
"pctl_1241_PartBsDegree4Perrelative","6"
"pctl_1241_SoundSopIntervalA2Per","95"
"pctl_1241_PartHnIIIntervalM3Per","76"
"pctl_1241_PartVaDynMean","38"
"pctl_1241_PartVnIDegreeDesc4Perrelative","95"
"pctl_1241_PartVnIIDegreeDesc6Perrelative","63"
"pctl_1241_PartVnIAccavgabsstep4Desc0","4"
"pctl_1241_SoundBsIntervalPDesc5Per","46"
"pctl_1241_PartBsDegree5Perrelative","66"
"pctl_1241_PartVnIIntervalsMajorAscPer","9"
"pctl_1241_PartHnIIIntervalm3Per","72"
"pctl_1241_HarmonyChordIVPer","43"
"pctl_1241_PartVnIIDegreeDesc4Perrelative","92"
"pctl_1241_ScoreAbsoluteIntervallicTrimDiff","33"
"pctl_1241_SoundSopIntervalm3Per","46"
"pctl_1241_SoundBsDescendingIntervallicStd","62"
"pctl_1241_HarmonyChordtypesmajorDesctriad","49"
"pctl_1241_PartObIIIntervalP4Per","60"
"pctl_1241_SoundVaAbsoluteIntervallicTrimDiff","93"
"pctl_1241_SoundVaIntervallicTrimDiff","39"
"pctl_1241_ScoreIntervalP8Per","22"
"pctl_1241_SoundVaIntervalP8Per","64"
"pctl_1241_SoundVaAbsoluteIntervallicKurtosis","32"
"pctl_1241_PartHnIIIntervalP4Per","60"
"pctl_1241_SoundHnIntervalPDesc5Per","60"
"pctl_1241_ScoreAbsoluteIntervallicStd","68"
"pctl_1241_ScoreDescendingIntervallicStd","63"
"pctl_1241_PartVaDegree1Perrelative","79"
"pctl_1241_ScoreLowestNoteIndex","26"
"pctl_1242_SoundVaLowestNoteIndex","26"
"pctl_1242_HarmonyChordsGrouping2SDPer","87"
"pctl_1242_HarmonyChordviPer","83"
"pctl_1242_PartVnDegree1Perrelative","90"
"pctl_1242_PartVnDegree6Perrelative","35"
"pctl_1242_ScoreDegree1Perrelative","51"
"pctl_1242_PartBsDegree2Perrelative","99"
"pctl_1242_HarmonyChordsGrouping2TPer","21"
"pctl_1242_HarmonyChordsGrouping1sdPer","88"
"pctl_1242_HarmonyKeyiiiPercentageMeasures","96"
