"marker","pct","Composer","direction","rank","AriaId","AriaName","AriaOpera","value","mean_galuppi","mean_perez","mean_jommelli","mean_hasse"
"PartVnI_Acc_avg_abs_step_4.0",4.94471475332279,"Johann Adolph Hasse","high",3,96,"Misero_pargoletto","Dem",1.015625,0.475371015984308,0.52563067452793,0.523739892429292,0.53395142166987
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Baldassare Galuppi","high",1,668,"E_prezzo","Ale",0.0449050086355785,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Baldassare Galuppi","high",2,1238,"Non_dura","Dem",0.0392609699769053,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Baldassare Galuppi","high",3,1144,"Son_regina","Did",0.0379266750948166,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Davide Perez","low",1,2762,"Vuoi_punir","Adr",0,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Davide Perez","low",2,2765,"Infelice_invan","Adr",0,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Davide Perez","low",3,2767,"La_ragion","Adr",0,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Niccolò Jommelli","high",1,1610,"Se_il","Ale",0.0416666666666666,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Niccolò Jommelli","high",2,152,"Ogni_amator","Did",0.0382409177820267,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Niccolò Jommelli","high",3,16,"Son_regina","Did",0.0370860927152317,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Johann Adolph Hasse","high",1,2069,"Va_tra","Art",0.111111111111111,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Johann Adolph Hasse","high",2,2736,"Leon_piagato","Adr",0.0765765765765765,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree.4_Per_relative",-4.76076612407984,"Johann Adolph Hasse","high",3,2240,"Pensa_che","Art",0.0478723404255319,0.0092800583295231,0.00525716450756561,0.00801622022431091,0.0112933950841105
"PartVnI_Degree1_Per_relative",6.29335811659342,"Baldassare Galuppi","low",1,1161,"Chiamami_pur","Did",0.118374558303887,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Baldassare Galuppi","low",2,130,"Cadra_fra","Did",0.124493927125506,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Baldassare Galuppi","low",3,1262,"E_prezzo","Ale",0.132584269662921,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Davide Perez","high",1,1944,"Se_del","Art",0.309328968903437,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Davide Perez","high",2,1064,"Se_amore","Ale",0.304477611940298,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Davide Perez","high",3,1350,"Se_mai","Ale",0.300970873786408,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Niccolò Jommelli","low",1,2413,"Non_e","Art",0.0867052023121387,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Niccolò Jommelli","low",2,951,"La_destra","Dem",0.0911300121506683,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Niccolò Jommelli","low",3,2400,"Va_tra","Art",0.0931744312026002,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Johann Adolph Hasse","high",1,743,"Non_e","Ale",0.367088607594937,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Johann Adolph Hasse","high",2,2161,"Londa_dal","Art",0.355555555555556,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree1_Per_relative",6.29335811659342,"Johann Adolph Hasse","high",3,733,"Generoso_resvegliarti","Ale",0.346511627906977,0.178254135053832,0.201027546548374,0.184787903138219,0.202713457589287
"PartVnI_Degree3_Per_relative",5.78831627440348,"Baldassare Galuppi","low",1,2035,"Cosi_stupisce","Art",0.117747440273038,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Baldassare Galuppi","low",2,798,"Ah_non_lasciarmi","Did",0.117899249732047,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Baldassare Galuppi","low",3,1285,"Son_confusa","Ale",0.118421052631579,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Davide Perez","high",1,1381,"Serbati_a","Ale",0.31237322515213,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Davide Perez","high",2,1375,"E_ver","Ale",0.272040302267002,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Davide Perez","high",3,719,"Serbati_a","Ale",0.267634854771784,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Niccolò Jommelli","low",1,892,"Nel_tuo","Dem",0.0924855491329479,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Niccolò Jommelli","low",2,501,"Se_ardire","Dem",0.101694915254237,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
"PartVnI_Degree3_Per_relative",5.78831627440348,"Niccolò Jommelli","low",3,476,"Non_curo","Dem",0.110183639398998,0.170170856027287,0.192808211026144,0.165677403551529,0.160445667435322
